,ts_local_iso,dt_local,regime,side,qty,entry_price,exit_price,pnl,pnl_pct,risk_usdt,pnl_r,reason
167,2025-12-19T01:34:59-03:00,2025-12-19T04:34:59.000Z,TREND,LONG,0.1641362330734509,121.85,122.09,0.0393926959376297,0.00003939269593762972,0.0517560678289576,0.7611222720360805,TRAIL_SL_LONG
169,2025-12-19T02:18:59-03:00,2025-12-19T05:18:59.000Z,TREND,LONG,0.1628266710087112,122.83,122.66,-0.0276805340714811,-0.00002768053407148119,0.060376196765437,-0.45846766696850166,DELTA_FLIP_SHORT
171,2025-12-19T02:19:59-03:00,2025-12-19T05:19:59.000Z,TREND,SHORT,0.1630523398010761,122.66,122.7,-0.006522093592044,-0.0000065220935920440654,0.060683484680698,-0.10747724238912282,DELTA_FLIP_LONG
173,2025-12-19T02:25:59-03:00,2025-12-19T05:25:59.000Z,TREND,LONG,0.1629991850040749,122.7,122.56,-0.0228198859005705,-0.000022819885900570587,0.0631416177681615,-0.3614080016821677,TRAIL_SL_LONG
175,2025-12-19T02:49:59-03:00,2025-12-19T05:49:59.000Z,TREND,SHORT,0.1635055591890124,122.32,122.31,0.0016350555918886,0.0000016350555918886373,0.041068778461562,0.03981261807966647,DELTA_FLIP_LONG
177,2025-12-19T02:52:59-03:00,2025-12-19T05:52:59.000Z,TREND,LONG,0.1635189273158368,122.31,122.56,0.0408797318289592,0.0000408797318289592,0.0425183834743322,0.9614601611944578,DELTA_FLIP_SHORT
179,2025-12-19T02:59:59-03:00,2025-12-19T05:59:59.000Z,TREND,SHORT,0.1631853785900783,122.56,122.56,-0,-0,0.0421059619980028,-0,TRAIL_SL_SHORT
181,2025-12-19T03:50:59-03:00,2025-12-19T06:50:59.000Z,TREND,SHORT,0.1631188320691624,122.61,122.64,-0.004893564962075,-0.000004893564962075057,0.0298284507482582,-0.1640569603622727,DELTA_FLIP_LONG
183,2025-12-19T03:52:59-03:00,2025-12-19T06:52:59.000Z,TREND,LONG,0.0815394651011089,122.64,122.73,0.0073385518591,0.000007338551859100082,0.0144570818484906,0.507609484127406,DELTA_FLIP_SHORT
185,2025-12-19T03:54:59-03:00,2025-12-19T06:54:59.000Z,TREND,SHORT,0.0814796708221298,122.73,122.79,-0.0048887802493279,-0.000004888780249327978,0.0140402688964216,-0.34819705273407464,DELTA_FLIP_LONG
